State,District,Subdistrict,City,City_Regiotype,Pincode,Locality,Sublocality,Sublocality_ID,Grid_Name,Part_Grid_Name,Part_Grid_Split_Count,Grid_Population,Grid_Households,Part_Grid_Population,Part_Grid_Households,ESI_Value,ESI_Segment
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600004,Abhiramapuram,Narasimhapuram,671,Che_02093,Che_02093_671,1,2454,631,745,204,125000,"1,20,000-1,60,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600004,Abhiramapuram,Narasimhapuram,671,Che_02094,Che_02094_671,1,2081,568,1870,510,90000,"80,000-1,20,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Mandavelli,Mandavelli,109,Che_02095,Che_02095_109,1,1483,400,886,235,154000,"1,20,000-1,60,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Mandavelli,Trustpakkam,110,Che_02095,Che_02095_110,1,1483,400,597,165,154000,"1,20,000-1,60,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Mandavelli,Trustpakkam,110,Che_02095,Che_02095_110,1,1483,400,597,165,154000,"1,20,000-1,60,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Mandavelli,Mandavelli,109,Che_02096,Che_02096_109,1,1541,405,402,107,174000,"1,60,000-2,00,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Raja Annamalai Puram,Ramakrishna Nagar,408,Che_02096,Che_02096_408,1,1541,405,1139,298,208000,"2,00,000-2,50,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Raja Annamalai Puram,Ramakrishna Nagar,408,Che_02097,Che_02097_408,1,2271,594,2271,594,191000,"1,60,000-2,00,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Raja Annamalai Puram,May Flower Garden,407,Che_02098,Che_02098_407,1,1784,468,1353,354,129000,"1,20,000-1,60,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Raja Annamalai Puram,Ramakrishna Nagar,408,Che_02098,Che_02098_408,1,1784,468,431,114,82000,"80,000-1,20,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Raja Annamalai Puram,Kamaraj Nagar,410,Che_02099,Che_02099_410,1,2035,534,1419,372,60000,"40,000-80,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Raja Annamalai Puram,KVB Garden,412,Che_02099,Che_02099_412,1,2035,534,588,154,58000,"40,000-80,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Raja Annamalai Puram,State Bank of India Colony,416,Che_02099,Che_02099_416,1,2035,534,28,8,239000,"2,00,000-2,50,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Raja Annamalai Puram,State Bank of India Colony,416,Che_02100,Che_02100_416,1,584,148,456,115,239000,"2,00,000-2,50,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Raja Annamalai Puram,Annai Sathya Nagar,420,Che_02100,Che_02100_420,1,584,148,128,33,239000,"2,00,000-2,50,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600004,Santhome,Dummingkuppam,111,Che_02613,Che_02613_111,1,2685,674,1736,435,81000,"80,000-1,20,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Foreshore Estate,Santhome,725,Che_02613,Che_02613_725,1,2685,674,735,185,153000,"1,20,000-1,60,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600004,Mylapore,Quil Thoppu,848,Che_02613,Che_02613_848,1,2685,674,214,54,80000,"80,000-1,20,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Foreshore Estate,Santhome,725,Che_02614,Che_02614_725,1,1420,357,1420,357,138000,"1,20,000-1,60,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Foreshore Estate,Block AT,714,Che_02615,Che_02615_714,1,1089,276,1089,276,62000,"40,000-80,000"
