,V1
BOULLION_Afternoon|RICE_Afternoon,1
BOULLION_Afternoon|SPICES.SEASONING_Afternoon,1
BOULLION_Afternoon|TOMATOES_Afternoon,1
BOULLION_Evening|DELI MEATS_Evening,1
BOULLION_Evening|RICE_Evening,1
BOULLION_Evening|SALT_Evening,1
BOULLION_Evening|SUGAR_Evening,1
BOULLION_Night|COOKING OIL_Night,1
BOULLION_Night|DRINK ASEPTIC_Basket_Size,1
BOULLION_Night|PASTA_Night,1
BOULLION_Night|RICE_Night,1
BOULLION_Night|VEGETABLES_Night,1
BREAKFAST FOODS_Sale_Total_Qty|BREAKFAST FOODS_Trans_Count,1
BREAKFAST FOODS_Sale_Total_Qty|BREAKFAST FOODS_Sale_Net_Value,1
BREAKFAST FOODS_Trans_Count|BREAKFAST FOODS_Sale_Total_Qty,1
BREAKFAST FOODS_Basket_Size|BREAKFAST FOODS_Ticket_Size,1
BREAKFAST FOODS_Basket_Size|DELI MARGARINE_Morning,1
BREAKFAST FOODS_Basket_Size|GM.LAUNDRY MISC_Basket_Size,1
BREAKFAST FOODS_Sale_Net_Value|BREAKFAST FOODS_Sale_Total_Qty,1
BREAKFAST FOODS_Ticket_Size|MAYONNAISE . SPREADS_Ticket_Size,1
BREAKFAST FOODS_Morning|BREAKFAST FOODS_Night,1
BREAKFAST FOODS_Morning|COMMERCIAL BKRY_Morning,1
BREAKFAST FOODS_Afternoon|BREAKFAST FOODS_Evening,1
BREAKFAST FOODS_Afternoon|CEREAL_Afternoon,1
BREAKFAST FOODS_Afternoon|DELI YOGURT.GELATIN_Afternoon,1
BREAKFAST FOODS_Evening|BREAKFAST FOODS_Night,1
BREAKFAST FOODS_Evening|DRINK ASEPTIC_Evening,1
BREAKFAST FOODS_Night|DELI.LUNCH SNACKS_Night,1
BREAKFAST FOODS_Night|DRINK ASEPTIC_Night,1
CANDLES_Sale_Total_Qty|CANDLES_Trans_Count,1
CANDLES_Sale_Total_Qty|CANDLES_Sale_Net_Value,1
CANDLES_Sale_Total_Qty|CANDLES_Morning,1
CANDLES_Trans_Count|CANDLES_Sale_Total_Qty,1
CANDLES_Trans_Count|CANDLES_Evening,1
CANDLES_Basket_Size|SPORT DRINKS_Ticket_Size,1
CANDLES_Sale_Net_Value|CANDLES_Sale_Total_Qty,1
CANDLES_Ticket_Size|CANDLES_Basket_Size,1
CANDLES_Morning|CANDLES_Afternoon,1
CANDLES_Morning|CANDLES_Evening,1
CANDLES_Afternoon|CANDLES_Evening,1
CANDLES_Evening|CANDLES_Night,1
CANDLES_Night|CANDY_Night,1
CANDLES_Night|DELI COFFEE ENHANCERS_Night,1
CANDLES_Night|FLORAL . MAJOR CAT_Night,1
CANDY_Sale_Total_Qty|CANDY_Basket_Size,1
CANDY_Trans_Count|CANDY_Sale_Total_Qty,1
CANDY_Trans_Count|CANDY_Sale_Net_Value,1
CANDY_Trans_Count|CANDY_Morning,1
CANDY_Trans_Count|CANDY_Afternoon,1
CANDY_Basket_Size|CANDY_Ticket_Size,1
CANDY_Basket_Size|DELI CHEESE_Basket_Size,1
CANDY_Basket_Size|FRUIT_Ticket_Size,1
CANDY_Basket_Size|PASTA_Basket_Size,1
CANDY_Basket_Size|TOMATOES_Basket_Size,1
CANDY_Sale_Net_Value|CANDY_Ticket_Size,1
CANDY_Ticket_Size|PEPPERS.CANNED_Ticket_Size,1
CANDY_Ticket_Size|VEGETABLES_Basket_Size,1
CANDY_Morning|SALTY SNACKS_Morning,1
CANDY_Morning|SNACKS_Morning,1
CANDY_Afternoon|SALTY SNACKS_Afternoon,1
CANDY_Afternoon|SNACKS_Afternoon,1
CANDY_Evening|DAIRY.DELI_Evening,1
CANDY_Evening|SNACKS_Evening,1
CANDY_Evening|TORTILLERIA.TORTILLERIA_Evening,1
CANDY_Night|GELATIN_Night,1
CANDY_Night|MILK_Night,1
CANDY_Night|SALTY SNACKS_Night,1
CANDY_Night|SPICES.SEASONING_Ticket_Size,1
CEREAL_Sale_Total_Qty|CEREAL_Trans_Count,1
CEREAL_Sale_Total_Qty|CEREAL_Sale_Net_Value,1
CEREAL_Trans_Count|CEREAL_Sale_Total_Qty,1
CEREAL_Trans_Count|CEREAL_Evening,1
CEREAL_Trans_Count|DELI MEATS_Evening,1
CEREAL_Basket_Size|CEREAL_Ticket_Size,1
